name,chords
Cant Buy Me Love,"G13,Em,Am,Em,Am,Dm,G7,C,F7,C,G,F,F7,C,C,F7,C,G,F,F7,C,Em,Am,C,Em,Am,Dm,G13,C,F7,C,G,F,F7,C,C,F7,C,G7,F7,C,Em,Am,C,Em,Am,Dm,G13,C,F7,C,G,F,F7,C,Em,Am,Em,Am,Dm,G7,C,C(7)"
Boys,"A,D,A,E,D,A,E7,A,D,A,E,D,A,E7,A,D,A,E7,D,A,E7"
Bobby Darin Medley,"E,B7,E,A,E,B7,E,E,B7,E,A,E,B7,E,A,A,A,B7,E,A,A,B7,E,A,C#m/G#,F#m7,A/E,D,G,A,A,C#m/G#,F#m7,A/E,D,G,A,G,Bm,Em,Em7,C,C/B,Asus2,G,Bm,Em,Em7,C,F,Em,Em7,C,F,Em,C,Em,C,Em,Em7,Em6,C,Em,Em7,Em6,C,Em,G,Am,G/B,G,C,C#dim,D,D#dim,Em,Eb,D,Dbdim,C,Cm,G/B,A7,D7,G,E,B7,E,A,E,B7,E,E,E,E,E,E,E,D,A,E"
Blue Moon,"F,Dm,Gm,C,F,Dm,Gm,C,F,Dm,Gm,Gm,C,F,Dm,Gm,C,F,Dm,Gm,C,F,Dm,Gm,C,F,Bb,F,Gm,C,F,Dm,Gm,C,F,E,Am,D,C,F,Dm,Gm,C,F,Dm,Gm"
Blue Jay Way,"C,C,C,C"
Blackbird,"G,Am7,G/B,G,G,Am7,G/B,G,C,C#dim,D,D#dim,Em,Em/Eb,D,C#dim,C,Cm,G/B,A7,D7,G,C,G/B,A7,D7sus4,G,G,Am7,G/B,G,C,C#dim,D,D#dim,Em,Em/Eb,D,C#dim,C,Cm,G/B,A7,D7,G,F,C/E,Dm,C,Bb6,C,F,C/E,Dm,C,Bb6,A7,D7sus4,G,G,Am7,G/B,G,C,C#dim,D,D#dim,Em,Em/Eb,D,C#dim,C,Cm,G/B,A7,D7sus4,G,F,C/E,Dm,C,Bb6,C,F,C/E,Dm,C,Bb6,A7,D7sus4,G,G,Am7,G/B,G,G,G,G,Am7,G/B,C,G/B,A7,D7sus4,G,Am7,G/B,G,C,C#dim,D,D#dim,Em,Em/Eb,D,C#dim,C,Cm,G/B,A7,D7,G,C,G/B,A7,D7sus4,G,C,G/B,A7,D7sus4,G"
Birthday,"A,A,D,A,E,A,E,E,E,C,G,C,G,C,G,C,G,E,A,A,D,A,E,A"
Besame Mucho,"Am,Dm,Dm,Am,A,Dm,Dm,E,Am,Am,Dm,Dm,Am,A,Dm,Am,E,Am,Dm,Am,E,Am,Dm,Am,B,E,Am,Dm,Dm,Am,A,Dm,Am,E,Am,Dm,Am,E,Am,Dm,Am,B,E"
Being For The Benefit Of Mr Kite,"Bb,A7,Dm,G,Cm,Cm,B,Gm,Dm,G,Cm,Cm,B,Gm,Dm,A7,Dm,Dm/C,Bb,A7,Dm,Bb,A7,Dm,Gm,A7,Dm,G,Cm,Cm,B,Gm,Dm,G,Cm,Cm,B,Gm,Dm,A7,Dm,Dm/C,Bb,A7,Dm,Bb,A7,Dm,F,C,A,Dm,F,C,B,Em,G,Cm,Cm,B,Gm,Dm,G,Cm,Cm,B,Gm,Dm,A7,Dm,Dm/C,Bb,A7,Dm,Bb,A7,Dm,Dm,A7,C,Em,A7,Dm,A7,C,Em,B,Em,Em/G,C,B7,Em,C,B,Em,Em/G,C,B,Em,Em/G,C,B,Em"
Because I Know You Love Me So,"A,D,E7,C,A,D,E7,C,A,D,E7,A,A,D,E7,C,A,D,E7,C,A,D,E7,A"
Because,"C#m,C#m,D#m7b5,G#7/D#,A,C#m,A7,A13,D,Ddim,C#m,C#m,D#m7b5,G#7/D#,A,C#m,A9,A13,D,Ddim,C#m,C#m,D#m7b5,G#7/D#,A,C#m,A9,A13,D,Ddim,F#/C#,F#,G#7,G#7,C#m,C#m,D#m7b5,G#7/D#,A,C#m,A9,A13,D,Ddim,C#m,C#m,D#m7b5,G#7/D#,A,C#m,A9,A13,D,Ddim,C#m,D#m7b5,G#7/D#,A,A7,A13,D,Ddim,A9,F#"
Beautiful Dreamer,"G,C,D,G,G,C,D,G,D,G,A,D,G,C,D,G,G,C,D,G,D,G,A,D,G,C,D,G,G,C,D,G,G#,C#,D#,G#"
Ballad Of John And Yoko,"E,E7,A,E,E7,A,E,B7,E,E,E7,A,E,B7,E,E,E7,A,E,B7,E,A,B,E,E7,A,E,B7,E,E,E7,A,E,B7,E"
Bad To Me,"D,F#m,Bm,D,F#m,A7,D,F#m,Bm,D,F#m,Bm,G,A7,D,G,A7,F#m,B7,Em,A7,D,Dm,Em,A7,D,F#m,Bm,D,F#m,Bm,G,A7,D,A7,Am,B7,G,A7,D,F#m,Bm,A7,D"
Bad Boy,"C7,C7,C7,C7,C7,F7,C7,G7,F7,C7,G7,C7,F7,C7,G7,F7,C7,G7,C7,F7,C7,G7,F7,C7,G7,C7,F7,C7,G7,F7,C7,C7"
Back Of Boogaloo,"F,Bb,F,F,Bb,F,Bb,Ab,C,F,Bb,F,F,Bb,F,Ab,Bb,C,F"
Back In The Ussr,"E,E7,A,D,C,D,A,D,C,D,A,C,D,A,D,Eb,E,A,D,C,D,A,D,C,D,A,C,D,Gadd9,A,D,A,D,D/C#,D/C,D/B,E,D,A,D,Eb,E,A,D,C,D,A,D,C,D,A,C,D,A,D,A,D,D/C#,D/C,D/B,E,D,A,D,Eb,E,A,D,C,D,A,D,C,D,A,C,D,A,D,Eb,E,A"
Babys In Black,
Baby Youre A Rich Man,"G7,C/G,G,C/G,G7,F,G7,C,G7,F,G7,C,G,C,G,C,Bbdim,G7/B,C,G7,C,G,C,G,C,Bbdim,G7/B"
Baby Its You,"G,Em,G,Em,G,Em,C,G,Em,C,G,Em,Am,G,Em,C,D,G,Em,G,Em,G,Em,C,G,C,C,G,Em,Am,G,Em,C,D,G,Em,G,Em,Em,C,D,G,Em,D,G,G,Em,Am,G,Em,C,D,G,Em,G,Em,G,Em,G,Em"
Ask Me Why,"E,G#m,F#m,C,Am,E+5,A,B,A,E,G#m,F#m,E,G#m,F#m,E,G#,C,Am,F#,B,G#m,F#m,E,G#m,F#m,E,G#,C#m,Am,E,E+5,A,B,E,E+5,A,B,E,B,G#m,E,G#m,F#m,E,G#m,F#m,E,G#,C,Am,F#,B,G#m,G#m,E+5,A,B,E,E+5,A,B,E,G#m,G#m"
For You Blue,"D,G,D,G,D,A,G,D,A,D,G,D,G,D,A,G,D,A,D,G,D,G,D,A,D,A,D,G,D,G,D,A,G,D,A,D,G,D,G,D,A,A,D,A,D"
For No One,"C,A,B,B,C,C/B,Am,C/G,F,Bb,C,C,C/B,Am,C/G,F,Bb,C,Dm,A7,Dm,A7,Dm,A7,Dm,A7,Dm,Gsus4,G,C,C/B,Am,C/G,F,Bb,C,C,C/B,Am,C/G,F,Bb,C,Dm,A7,Dm,A7,Dm,A7,Dm,A7,Dm,Gsus4,G,C,C/B,Am,C/G,F,Bb,C,C,C/B,Am,C/G,F,Bb,C,Dm,A7,Dm,A7,Dm,A7,Dm,A7,Dm,Gsus4,G"
Flying,"C,Csus,C,F,C,Csus,C,G,F,C,G"
Fixing A Hole,"F,C+,Fm7,Bbadd9,F,C+,Fm7,Fm6,Fm7,Bbadd9,Fm7,Bbadd9,Fm7,Bbadd9,F,C+,Fm7,Fm6,Fm7,Bbadd9,Fm7,Bbadd9,Fm7,Bbadd9,F,C,F,C,F,C,F,C,G,C,G,C,G,C,F,C+,Fm7,Fm6,Fm7,Bbadd9,Fm7,Bbadd9,Fm7,Bbadd9,F,C+,Fm7,Fm6,Fm7,Bbadd9,Fm7,Bbadd9,Fm7,Bbadd9,F,C,F,C,F,C,F,C,G,C,G,C,G,C,F,C+,Fm7,Fm6,Fm7,Bbadd9,Fm7,Bbadd9,Fm7,Bbadd9,F,C+,Fm7,Fm6,Fm7,Bbadd9,Fm7,Bbadd9,Fm7,Bbadd9,Fm7,Bbadd9,Fm7,Bbadd9,Fm7,Bbadd9,Fm7,Bbadd9"
Fancy My Chances,"G,C,C,G,G,C,D,G,G,C,C,G,G,C,D,G,C,C,G,G,C,D"
Everybodys Trying To Be My Baby,"E,E6,A,B7,E,E,E6,E,A,E,B7,A,E,E,A,E,B7,A,E,E,A,E,B7,A,E,E,A,E,B7,A,E,E,A,E,B7,A,E"
Everybodys Got Something To Hide Except Me And My Monkey,"A,B7,D,E,G,E,E,A,D,B7,E,D,G,E,G,D,E,A,D,B7,E,D,G,E,G,D,E,A,D,B7,E,D,G,E,G,D,E,D"
Every Little Thing,"A,D,E,A,G,D,Bm,E,A,D,E,A,G,D,Bm,E,A,G,G,A,A,G,G,A,A,D,E,A,G,D,Bm,E,A,D,E,A,G,D,Bm,E,A,G,G,A,A,G,G,A,A,G,G,A,A,G,G,A,A,E,A,A,E,A,A,E,A"
Eleanor Rigby,"Em,Em,Emadd9,Em,Em7,C,Em,Em,Em,Esus4,Em,Am,Em,Em,C,Em,C,Em,Em,C,Em,Em,Em/D,C,Em,Em7,Em6,Cmaj7/E,Em,Em7,Em6,Cmaj7/E,Em,Em,C,Em,Em,Em,Emadd9,Em,Em7,C,Em,Em7,Em6,Cmaj7/E,Em,Em7,Em6,Cmaj7/E,Em,C,Em,C,Em,Em,Em,Esus4,Em,Am,Em,Em,C6,Em,Em7,Em6,Cmaj7/E,Em,Em7,Em6,Cmaj7/E,Em,Em"
Eight Days A Week,"C,C,D7,F,C,C,D7,F,C,Am,F,Am,D7,C,D7,F,C,C,D7,F,C,C,D7,F,C,Am,F,Am,D7,C,D7,F,C,G,Am,D7,F,G7,C,D7,F,C,C,D7,F,C,Am,F,Am,D7,C,D7,F,C,G,Am,D7,F,G7,C,D7,F,C,C,D7,F,C,Am,F,Am,D7,C,D7,F,C,F,C,F,C,C,D7,Dm7,C,D,E,G,D,D,E,G,D,D,E,G,D,Bm,G,Bm,E,D,E,G,D,D,E,G,D,D,E,G,D,Bm,G,Bm,E,D,E,G,D,A,Bm,E,G,A,G,D,G,D,G,D,D-,E-,G-,A-"
Drive My Car,"D7,G7,A7#5,A,Bm,E,D,G,D7,D7,G7,D7,G7,D7,G7,A7#5,Bm,G7,Bm,G7,Bm,E,A,D,G,A,D7,G7,D7,G7,D7,G7,A7#5,Bm,G7,Bm,G7,Bm,E,A,D,G,A,A,D7,G7,D7,G7,D7,G7,A7#5,Bm,G7,Bm,G7,Bm,E,A,D,G,A,D7,G7,D7,G7,D7,G7,A7#5,Bm,G7,Bm,G7,Bm,E,A,D,G,A,A,D,G,A,D,G,A,D,G,A,D,G"
Dream Baby How Long Must I Dream,"C7,Bb,F,C7,C7,F,C7,F,C7,C7,F,C7,F,C7,C7,F,C7,F,C7,C7,F,C7,F,C7,C7,F,C7,F"
Dr Robert,"F,F7,F,D7,Am,D7,Am,D7,C,D7,G,G,C,G,G,C,F"
Dont Pass Me By,"C,F,G,F,C,C,F,G,F,C,F,C,G,G+,F,C,F,G,F,C,F,C,G,F,C"
Dont Let Me Down,"E,F#m,F#m7,Amaj7/B,E,F#m,F#m7,Amaj7/B,Esus4,E,E,F#m7,F#m/B,E,Esus4,E,F#m,F#m/B,E,Esus4,E,F#m,F#m7,Amaj7/B,E,F#m,F#m7,Amaj7/B,Esus4,E,E,B,B7,E,E,F#m,F#m7,Amaj7/B,E,F#m,F#m7,Amaj7/B,Esus4,E"
Dont Ever Change,"E,E,C#m,E,E,C#m,A,H,C#m,E,E,A,H,E,C#m,A,H,C#m,E,E,A,H,E,E7,A,A,A6,A,A,A,H,E,G#m,F#m,E,C#m,A,H"
Dont Bother Me,"Em,C,Bm,Am,G,D,Em,Bm,Am,G,Em,Bm,Am,G,C,Em,A,Em,Bm,Am,G,Em,Bm,Am,G,C,Em,A,Em,D,Em,D,Em,Bm,Am,C,Em,Bm,Am,G,Em,Bm,Am,G,C,Em,A,Em,Bm,Am,G,Em,Bm,Am,G,C,Em,A,Em,D,Em,D,Em,Bm,Am,C,Em,Bm,Am,G,Em,Bm,Am,G,C,Em,A,Em,A,Em"
Doctor Robert,"A7,Asus4,A7,Asus4,A7,Asus4,A7,Asus4,A7,Asus4,A7,Asus4,A7,Asus4,A7,Asus4,A7,Asus4,A7,Asus4,F#7,F#7sus4,F#7,F#7sus4,F#7,F#7sus4,F#7,F#7sus4,F#7,F#7sus4,F#7,F#7sus4,E,F#7,B,B,E/B,B,B,E/B,A7,Asus4,A7,Asus4,F#7,F#7sus4,E,B,E/B"
Do You Want To Know A Secret,"Em,Am,Em,G,F,B6,E,G#m,Gm,F#m,B7,E,G#m,Gm,F#m,B7,E,G#m,Gm,F#m,B6,F,E,G#m,Gm,F#m,B7,E,G#m,Gm,F#m,B7,A,B7,C#m,F#m,B6,E,G#m,Gm,F#m,B7,E,G#m,Gm,F#m,B7,E,G#m,Gm,F#m,B6,F,E,G#m,Gm,F#m,B7,E,G#m,Gm,F#m,B7,A,B7,C#m,F#m,B6,A,F#m,C#m,Bm,A,F#m,C#m,Bm,F#m,B6,E,G#m,Gm,F#m,B7,E,G#m,Gm,F#m,B7,E,G#m,Gm,F#m,B6,F,E,G#m,Gm,F#m,B7,E,G#m,Gm,F#m,B7,A,B7,C#m,F#m,B6,C#m,F#m,B6,C#m,F#m,B6,C#m,F#m,B6,C#m"
Dizzy Miss Lizzy,"A,D,A,E7,D,A,E7,A,D,A,E7,D,A,E7,A,D,A,E7,D,A,E7,A,D,A,E7,D,A,E7,A,D,A,E7,D,A,E7,A,D,A,E7,D,A,E7,A,D,A,E7,D,A,E7,A,D,A,E7,D,A,A6"
Dig It,"B,B"
Dig A Pony,"G,D,A,G,D,A,A,F#m,Bm,G7,G,Bm,G7,E,A,F#m,Bm,G7,G,Bm,G7,E,G,D,A,G,D,A,A,F#m,Bm,G7,G,Bm,G7,E,A,F#m,Bm,G7,G,Bm,G7,E,G,D,A,G,D,A,A,F#m,Bm,G7,Bm,G,E7,A,F#m,Bm,G7,G,Bm,G7,E,A,F#m,Bm,G7,G,Bm,G7,E,G,D,A,G,D,A,G,D,A,G,D,A,A"
Devil In Her Heart,"Am7,D7,G,G,Am7,D7,G,Am7,D7,G,G,G,G,D7,D7,G7,G7,C,Cm,G,G,G,G,D7,D7,G7,G7,C,Cm,A7,D7,D7,Am7,D7,G,Am7,D7,G,G,G,G,D7,D7,G7,G7,C,Cm,G,G,D7,D7,G7,G7,C,Cm,A7,D7,D7,Am7,D7,G,Am7,D7,G,G,G,G,D7,D7,G7,G7,C,Cm,G,G,G,G,D7,D7,G7,G7,C,Cm,A7,D7,D7,Am7,D7,G,Am7,D7,G,G,Am7,D7,G,Am7,D7,G,G,G9"
Here Comes The Sun,"D,Gmaj7,E7,D,G6,Dadd9,G6,Dadd9,A7,D,G6,A7,D,Gmaj7,A7,A7sus,D,G6,A7,D,Gmaj7,A7,A7sus,D,G6,A7,D,Gmaj7,A7,A7sus,F,C,G,D,A7,F,C,G,D,A7,F,C,G,D,A7,F,C,G,D,A7,A7,A7sus,A7,A7,D,G6,A7,D,Gmaj7,A7,A7sus,D,Gmaj7,E7,D,G6,Dadd9,G6,Dadd9,A7,G6,Gmaj7,Gmaj7,Dadd9,A7sus,A7"
Her Majesty,"G,Em,C,D,G,G,Em,C,D,Em,G,D,Em,G,Em,C,D,G,Em,C,D,G"
Helter Skelter,"E7,E7/G,G,A,G,A,E7,E7,E7/G,E7,E7/G,A,E"
Helter Skelter,"E7,E6,Eaug,E7,G,E,A,E7,E6,Eaug,G,E,E,G,A,E,A,E,A,E,E,G,A,E,A,E,A,E,E,A,E,A,E,E7,E6,Eaug,G,E,E,G,A,E,A,E,A,E,E7"
Help,"A6,Bm,Bm/A,G,G/F#,E,A,A,C#m,F#m,D,G,A,C#m,F#m,D,G,A,Bm,Bm/A,G,G/F#,E,A,C#m,F#m,D,G,A,C#m,F#m,D,G,A,Bm,Bm/A,G,G/F#,E,A,A,C#m,F#m,D,G,A,C#m,F#m,D,G,A,Bm,Bm/A,G,G/F#,E,A,F#m,A,A6"
Hello Little Girl,"E7,A,F#7,Bm7,D,E,C#m,Bb,A6,E7,A,F#7,Bm7,E7,A,F#7,Bm7,E7,A,F#7,Bm7,E7,A,E,D,E7,D,E,A,A,E,D,E7,D,E,A,A,E,D,E7,D,E,A,A,E,D,E7,D,E,A,A,F#7,Bm7,E7,A,F#7,Bm7,E7,A,F#7,Bm7,E7,A,F#7,Bm7,E7,A,E,D,E7,D,E,A,A,E,D,E,D,E,E,A,F#7,Bm7,E7,A,F#7,Bm7,E7,A,F#7,Bm7,E7,A,F#7,Bm7,E7,A,E,D,E7,D,E,A,F#7,Bm7,E,A,F#7,Bm7,E,A,F#7,Bm7,E,A,C#m,Bb,A,A6"
Hello Goodbye,"F6,C,G7,Am,G7,G7,C/G,G7,F/G,C,C/B,Am7,Am7/G,F,Ab,C,C/B,Am7,Am7/G,F,Bb,C,F6,C,G7,Am,G7,Am,G7,G,C/G,G7,F/G,C,C/B,Am7,Am7/G,F,Ab,C,C/B,Am7,Am7/G,F,Bb,C,C/B,Am7,Am7/G,F,Ab,Cm/G,F#dim7,F7,C,C"
Happy Rishikesh Song,
Happy Just To Dance With You,"Bsus4,C#m,F#m,G#m,C#m,F#m,G#m,F#m,G#m,E,E,Bsus4,B,E,Bsus4,B,A,E,A,B,E,C#m,F#m,G#m,C#m,F#m,G#m,C#m,F#m,G#m,F#m,G#m,E,A,B,E,F#m,G#m,A,B,E,F#m,G#m,F#m,G#m,E"
Happiness Is A Warm Gun,"Am7,Am6,Emadd9,Em,Am7,Am6,Emadd9,Em,Dm,Am,Dm,Am,Dm,Am,Dm,Am,A7,C,Am,A7,C,A7,C,A7,G7,C,Am,F,G7,C,Am,F,G7,Cmaj7,Am7,F,G7,C,Am7,F,G7,C,Am7,F,G7"
Hallelujah I Love Her So,"Bb,G7,D#,F,Bb,G7,D#,F,Bb,Bb7,D#7,C7,Bb,G7,C#7,C7,D#,F,Bb,Bb,C7,Bb,G7,Bb,C7,F7,Bb,G7,D#,F,Bb,G7,D#,F,Bb,Bb7,D#7,C7,Bb,G7,C,C7,F7,Bb,G7,C7,F7,Bb,G7,C7,F7,Bb"
Got To Get You Into My Life,"G,F,G,F,Bm,Bb,D/A,G#m7,Bm,Bb,D/A,G#m7,C,C/B,Am7,D,G,G,C,Bm,Bb,D/A,G#m7,Bm,Bb,D/A,G#m7,C,C/B,Am7,D,G,G,C,Am7,Bb,Bm,C,C/B,D,D/A,F,G,G#m7"
Good Night,"Gmaj7,Cmaj7,Gmaj7,Cmaj7,G,Bm7,Am7,Am11,D7sus,D7,G,Bm7,Am,Am,Bm7,Am7,C/G,D,G,Bm7,Am7,C/G,Bm7,Am7,Am7,D,Gmaj7,Cmaj7,Gmaj7,Cmaj7,G,C,G,C,G,Bm7,Am7,Am7,Bm7,Am7,C6,D,G,Bm7,Am7,C/G,Bsus4,Am,C/G,D,B5,Cmaj7,B5,Cmaj7,G,C,G,C,G,C,A,Dm,G,C,D,C,G,Bm7,Am7,Am7,Bm,Am,Am7,Dsus4,D,G,Bm7,Am7,C/G,Bm,Am,C/G,D,Gmaj7,Cmaj7,Gmaj7,C,C6,G,C/G,G,Am7,G,Bm7,Am7,Am11,D7sus4,G,C,C,D,G"
Good Morning Good Morning,"A,D,A,D,A,D,A,E,A,Em,G,A,A,Em,G,A,D,E,E7,A,Em,G,A,D,A,A,Em,G,A,Em,G,A,D,A,D,A,D,A,D,A,D,A,A,Em,G,A,A,Em,G,A,D,E,A,Em,G,A,D,A,D,A,D,A,D,A,D,A,A,Em,G,A,A,Em,G,A,D,E,A,Em,G,A,D,A,D,A,D,A,D"
Good Morning,"A,D,A,D,A,D,A,A,A7,G,A,A,A7,G,A,D,E,A,A7,G,A,D,A,A,A7,G,A,A,A7,G,A,D,A,D,A,D,A,D,A,D,A,A,A7,G,A,A,A7,G,A,D,E,A,A7,G,A,D,A,A,A7,G,A,A,A7,G,A,D,A,D,A,D,A,D,A,D,A,A,A7,G,A,A,A7,G,A,D,E,A,A7,G,A,D,A,D,A,D,A,D"
Good Day Sunshine,"E,B,F#,B,F#,E,E7,A,F#7,B7,E,A,F#7,B7,E,A,B,F#,B,F#,E,E7,A,F#7,B7,E,A,D,B7,E7,A7,D,B,F#,B,F#,E,E7,A,F#7,B7,E,A,F#7,B7,E,A,B,F#,B,F#,E,E7,B,F#,B,F#,E,E7,F7"
Golden Slumbers Carry That Weight The End,"Am7,G/B,B7,Dm7,Asus2,Am7/D,A7,Cm7,Fadd9,Fmaj7,G/A,Cmaj7,Am7,Am7,Dm,G7,C,E7,Am,Asus2,Dmadd9,G7,C,C,Fadd9,C,Fadd9,C,E7,Am,Asus2,Dmadd9,G7,C,Am7,Dm,G7,C,E7,Am,Asus2,Dmadd9,G7,C,C,G,C,C,G,C,G/B,Am7,Am7/D,Dm7,G7,Csus4,C,Cmaj7,Fmaj7,Bm,E7,Am,Am7,Am7/D,Dm7,G7,Csus4,C,Cmaj7,Fmaj7,Bm,E7,Am7,G,C,C,G,C,C,G,C,G/B,A,C,G/B,A,C,G/B,A,A,D,B,E,A,A,B7,B7,A,A,D,B,E,A,B7,A,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A,A,G/A,F,Dm7,G7,C,D,Cm7,F,C"
Golden Slumbers,"Am7,Dm7,G7,C,E,Am,Dm9,G7,C,C,F,C,C,F,C,E,Am,Dm9,G7,C,Am7,Dm7,G7,C,E,Am,Dm9,G7,C"
Gold Slumbers,"Am7,Dm7,G7,C,E7,Am,Dm9,G7,C,C,FM7,C,FM7,C,E7,Am,Dm9,G7,C,C,G,C,C,G,C,Am7,Dm7,G7,C,FM7,Bm7,E7,Am,Dm7,G7,C,F,Bm7,E7,Am,Gsus,C/G,G,C,G7,C,G7,C,G,C,G,A,A,D,B7,E,A,A,D,B,E,A,B7/D#,A,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,D7,A7,A,A,A,A,A,A,A,A,A,A,G/A,D/A,G/A,F,Em,Dm,Am/E,Dm,G7,C,C,D,C,Cm7,F/C,C"
Glass Onion,"Am,F7,Am,F7,Am,Gm7,C7,Gm7,C7,F7,D7,F7,D7,F7,G7,Am,F7,Am,F7,Am,Gm7,C7,Gm7,C7,F7,D7,F7,D7,F7,G7,Am,F,Am,Am7,F7,G7,Adim7,Abdim7,Gdim7,F#dim7,Gdim7,G#dim7,Adim7,Adim7,Abdim7,Gdim7,F#dim7,Gm7,F7"
Glad All Over,"A,E,E,A,B,A,B,E,E,A,B,A,B,E,A,E,A,B,E,A,B,A,B,E,A,E,B,A,E,A,E,A,B,A,E,B,A,B,E,A,B,E,A,B,E"
Girl,"E,A,D,G,B,E,Em,B7,Em,Em7,Am,C6,G,B7,Em,B7,Em,Em7,Am,C6,Em,G,Bm,Am,D7,G,Bm,Am,D7,Em,B7,Em,Em7,Am,C6,G,B7,Em,B7,Em,Em7,Am,C6,Em,G,Bm,Am,D7,G,Bm,Am,D7,Am,E,Am,E,Am,E,Am,C,G,Bm,Am,D7,G,Bm,Am,D7,Em,B7,Em,Em7,Am,G,B7,Em,B7,Em,Em7,Am,Em,G,Bm,Am,D7,G,Bm,Am,D7,Em,B7,Em7,Am,G,B7,Em,B7,Em7,Am,Em,G,Bm,Am,D7"
Getting Better,"C,C/G,Em,Fadd9,G,Fadd9,Fadd9,C,Fadd9,G,C/G,G,C/G,G,C/G,G,C/G,G,C/G,G,C/G,C,Fadd9,Em,Fadd9,C,Fadd9,Em,Fadd9,G,C/G,G,C/G,G,C/G,G,C/G,G,C/G,G,C/G,G,C/G,G,C/G,G,C/G,C,Fadd9,Em,Fadd9,C,Fadd9,Em,Fadd9,Fadd9,C,Fadd9,C,Fadd9,C,Fadd9,C,C,Fadd9,Em,Fadd9,C,Fadd9,Em,Fadd9,G,G,G,G,C/G,G,C/G,G,C/G,G,C/G,G,C/G,C,Fadd9,Em,Fadd9,C,Fadd9,Em,Fadd9,Fadd9,C,Fadd9,C,Fadd9,C,Fadd9,C,C,Fadd9,Em,Fadd9,C,Fadd9,Em,Fadd9,Fadd9,C,Fadd9,C,Fadd9,C,C,C"
Get Back,"A,A7,D,G,A,A7,D,A,A7,D,A,A7,D,A"
I Will,"Db7,F/C,Dm7,Gm7,F,Dm7,Gm7,C7,F,Dm,Am,F7,Bb,C7,Dm,F,Bb,C7,F,Dm7,Gm7,C7,F,Dm7,Gm7,C7,F,Dm,Am,F7,Bb,C7,Dm,F/A,Bb,C7,F,F7,Bb,Am,Dm7,Gm,C7,F,F7,Bb,Am,Dm7,G7,C7,F,Dm7,Gm7,C7,F,Dm,Am,F7,Bb,C7,Dm,Bbm,F,Bb,C7,Dm,Bbm,F,Bb,C7,Dm,F,Bb,C7,Db7,F,F7,Bb,F/C,C7,Dm7,Gm7,C7,F"
I Want You Shes So Heavy,"E7b9,E7/G#,Dm,Dm/F,E7b9,C5,B5,Bb7,Aaug,Am7,Am7,Am7,Am7,C,D,F,G,E7/G#,Am7,Dm7,Dm7,Dm7,Dm7,F,C,Bb,G5,G#5,A,E7b9,E7b9,E7b9,Am7,Am7,Am7,Am7,D,F,G,E7/G#,Am7,Dm7,Dm7,Dm7,Dm7,F,C,Bb,G5,G#5,Am,E7b9,E7b9,E7b9,Dm,Dm/F,E7b9,C5,B5,Bb7,Aaug,Dm,Dm/F,E7b9,C5,B5,Bb7,Aaug,Am7,Am7,Am7,Am7,C,D,F,G,E7/G#,Am7,Dm7,Dm7,Dm7,Dm7,F,C,Bb,G5,G#5,Am,E7b9,E7b9,E7b9,Dm,Dm/F,E7b9,C5,B5,Bb7,Aaug,Dm,Dm/F,E7b9,C5,B5,Bb7,Aaug,Am7,Am7,Am7,Am7,C,D,F,G,E7/G#,Am7,Dm7,Dm7,Dm7,Dm7,F,C,Bb,G5,G#5,A,E7b9,E7b9,Dm,Dm/F,E7b9,C5,B5,Bb7,Aaug,Dm,Dm/F,E7b9,C5,B5,Bb7,Aaug"
I Want To Tell You,"A,B,E7,A,A,B,E7,A,Bm,E7,A,B7,Bm,Dm6,A,A,B,E7,A,Bm,E7,A,B7,Bm,Dm6,A,A,B,E7,A"
I Want To Hold Your Hand,"C,D,C,D,C,D5,D6,D5,D6,D5,D6,D5,D6,G5,G6,G5,D5,D6,D5,E5,B7,G5,G6,G5,D5,D6,D5,E5,B7,C,D,G,Em,C,D,G,C,D,G,Em,C,D,G,Dm,G,C,Am,Dm,G,C,D,C,D,C,D,D5,D6,D5,D6,D5,C,D,G,Em,C,D,G,Dm,G,C,Am,Dm,G,C,D,C,D,C,D,D5,D6,D5,D6,D5,C,D,G,Em,C,D,B7,C,D,C,G,C,D,D5,D6,G5,G6,E5,B7,C,D,G,Em"
I Wanna Be Your Man,"E7,B7,E,E7,E7,B7,E,E7,F#7,B7,E,C#7,F#7,B7,E,D/E,E7,B7,E,E7,B7,E,E7,F#7,B7,E7,B7,E,C#7,F#7,B7,E,D/E"
I Should Have Known Better,"C,G7,C,G7,C,G7,C,G7,C,G7,C,G7,C,G7,C,G7,C,G7,Am,F,G7,C,G7,C,G7,C,G7,C,G7,C,G7,C,G7,C,G7,Am,F,E7,Am,F,C,E7,Am,F,C,F,G7,C,Am,F,G7,C,G7,C,G7,C,G7,C,G7,C,G7,C,G7,C,G7,Am,F,G7,C,G7,C,G7,C,G7,C,G7,C,G7,C,G7,C,G7,Am,F,G7,C,G7,C,G7,C,G7,C,G7,C,G7,C,G7,C,G7,Am,F,E7,Am,F,C,E7,Am,F,C,F,G7,C,Am,F,G7,C,G7,C,G7,C,G7,C,G7,C,G7,C"
